"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2008M01","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","13,035",""
"2008M02","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","11,280",""
"2008M03","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","10,785",""
"2008M04","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","10,950",""
"2008M05","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","11,805",""
"2008M06","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","12,055",""
"2008M07","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","14,400",""
"2008M08","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","13,745",""
"2008M09","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","15,140",""
"2008M10","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","14,805",""
"2008M11","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","12,945",""
"2008M12","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","11,945","d"
"2009M01","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","16,235",""
"2009M02","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","15,685",""
"2009M03","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","16,635",""
"2009M04","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","15,650",""
"2009M05","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","14,515",""
"2009M06","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","15,620",""
"2009M07","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","16,680",""
"2009M08","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","16,000",""
"2009M09","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","16,380",""
"2009M10","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","18,095",""
"2009M11","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","17,995",""
"2009M12","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","16,345",""
"2010M01","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","14,970",""
"2010M02","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","16,695",""
"2010M03","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","18,150",""
"2010M04","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","14,490",""
"2010M05","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","14,175",""
"2010M06","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","15,060",""
"2010M07","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","15,475",""
"2010M08","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","17,535",""
"2010M09","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","20,545",""
"2010M10","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","22,270",""
"2010M11","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","20,055",""
"2010M12","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","18,105",""
"2011M01","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","17,800","d"
"2011M02","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","19,360",""
"2011M03","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","21,955",""
"2011M04","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","19,845",""
"2011M05","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","25,045",""
"2011M06","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","22,935",""
"2011M07","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","22,385",""
"2011M08","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","22,545",""
"2011M09","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","23,975",""
"2011M10","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","23,375",""
"2011M11","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","22,685",""
"2011M12","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","21,300",""
"2012M01","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","20,345",""
"2012M02","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","18,915",""
"2012M03","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","19,610",""
"2012M04","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","17,765",""
"2012M05","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","20,175",""
"2012M06","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","20,385",""
"2012M07","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","23,405",""
"2012M08","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","24,080",""
"2012M09","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","26,650",""
"2012M10","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","33,745",""
"2012M11","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","29,515",""
"2012M12","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","23,685",""
"2013M01","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","25,430",""
"2013M02","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","22,940",""
"2013M03","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","25,150",""
"2013M04","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","28,485",""
